,Current assets/Current Liabilities,Price/Book-Value Ratio,EPS last Year,EPS this Year,Increase Percentage,Payout Ratio,Debt/Equity Ratio,EV/EBITDA Ratio,Quick Ratio,Operaating Margin,ROA %,ROE %,,
KO,1.05,11.42,0.29,1.51,420.6896552,0.99,2.57,21.63,0.95,30.7,7.3,35.65,,
,0,0,,,1,0,0,0,0,2,1,1,,5
,,,,,,,,,,,,,,
DELL,0.74,0,0,-0.42,0,0,-9.28,14.85,0.67,-0.21,-1.92,-38,,
,0,1,,,0,0,0,0,0,,0,0,,1
,,,,,,,,,,,,,,
GES,1.93,2.18,0.27,-0.11,-140.7407407,0,0.05,14.39,0.95,2.32,-0.51,-0.97,,
,1,1,,,0,0,0,0,0,,0,0,,2
,,,,,,,,,,,,,,
SNAP,5.73,5.62,-2.95,-0.97,67.11864407,0,0,-10.19,5.73,-107.46,-41.72,-48.07,,
,0,0,,,1,,0,0,1,,0,0,,2
,,,,,,,,,,,,,,
DAL,0.34,2.48,4.45,5.69,27.86516854,0.23,0.71,7.63,0.28,11.85,7.07,29.49,,
,0,1,,,1,0,0,0,0,0,1,1,,4
,,,,,,,,,,,,,,
SHOP,15.35,9.41,-0.42,-0.61,-45.23809524,0,0,-289.67,15.35,-2.75,-3.65,-3.98,,
,0,0,,,0,0,0,0,2,0,0,0,,2
,,,,,,,,,,,,,,
T,0.8,1.18,4.77,2.85,-40.25157233,0.77,0.96,6.51,0.8,12.93,3.89,11.56,,
,0,1,,,0,0,0,0,0,1,0,0,,2
,,,,,,,,,,,,,,
BBBY,1.67,0.76,4.61,3.05,-33.83947939,0.27,0.51,3.01,0.55,1.63,4.3,10.82,,
,2,1,,,0,0,2,0,0,0,0,0,,5
,,,,,,,,,,,,,,
MSFT,3.12,9.31,3.29,2.15,-34.65045593,0.4,0.79,14.98,3.08,28.36,13.13,40.08,,
,2,0,,,0,1,0,0,2,2,1,1,,9
,,,,,,,,,,,,,,
AAPL,1.3,7.01,9.26,12.01,29.69762419,0.23,0.97,10.04,1.25,22.72,15.95,48.95,,7
,0,0,,,1,0,0,0,2,2,1,1,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
